"Year","N.WAge0","N.WAge1","N.GAge0","N.GAge1","In.WAge0","In.WAge1","In.GAge0","In.GAge1","NW.YCI","NG.YCI","WYCI","GYCI"
1980,1,1,1,2,11.0761285433373,6.0580361939056,9.14984503761047,21.3517904489546,1,1,11.0761285433373,9.14984503761047
1981,0,0,0,0,0,0,0,0,3,1,21.8477967961979,6.37688037915338
1982,53,3,3,1,486.573685901388,21.8477967961979,23.4295020221874,6.37688037915338,78,6,719.687865670317,57.3104132871786
1983,14,25,1,3,104.082610589409,233.114179768929,9.16341613178237,33.8809112649912,81,3,599.634141035589,19.7190855575003
1984,0,67,0,2,0,495.55153044618,0,10.555669425718,5,1,40.6571141101275,9.62826838093829
1985,1,5,0,1,15.5778073557573,40.6571141101275,0,9.62826838093829,4,0,44.0389592930578,0
1986,0,3,0,0,0,28.4611519373005,0,0,3,0,23.5028502719836,0
1987,0,3,0,0,0,23.5028502719836,0,0,1,0,8.46623632280025,0
1988,0,1,0,0,0,8.46623632280025,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0
1993,3,0,0,0,51.4158920146979,0,0,0,5,0,72.4959650217059,0
1994,0,2,0,0,0,21.080073007008,0,0,0,0,0,0
1995,13,0,0,0,267.150054019749,0,0,0,22,0,348.611219762073,0
1996,10,9,0,0,119.879313340342,81.461165742324,0,0,14,0,161.000617910055,0
1997,3,4,0,0,33.2283856300119,41.1213045697137,0,0,5,0,46.732367444996,0
1998,26,2,0,0,312.03763294138,13.5039818149841,0,0,28,0,327.734569484202,0
1999,1,2,0,0,8.09409413083782,15.6969365428224,0,0,2,0,18.1908214968129,0
2000,0,1,0,0,0,10.0967273659751,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,1,0,10.2300354910103
2004,2,0,0,1,19.1314946202709,0,0,10.2300354910103,2,0,19.1314946202709,0
2005,0,0,0,0,0,0,0,0,0,1,0,9.09336431630769
2006,10,0,1,1,150.915124265918,0,9.37010994487844,9.09336431630769,20,1,234.599454467261,9.37010994487844
2007,0,10,0,0,0,83.6843302013429,0,0,3,0,30.1915702813208,0
2008,0,3,0,0,0,30.1915702813208,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,1,0,11.6914688214824
2010,0,0,0,1,0,0,0,11.6914688214824,0,0,0,0
2011,4,0,0,0,48.8061929857691,0,0,0,4,0,48.8061929857691,0
2012,1,0,0,0,11.0761285433373,0,0,0,1,0,11.0761285433373,0
2013,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,0,0,0,18.4140638838186,0,0,0,1,0,18.4140638838186,0
2017,16,0,0,0,278.429530196347,0,0,0,17,0,284.920283503046,0
2018,0,1,0,0,0,6.49075330669826,0,0,NA,NA,NA,NA
