year,sav_ha,shadow_ha,wh_ha,wp_ha,pen_ha,fav_tot_ha,sav_prop,shadow_prop,wh_prop,wp_prop,pen_prop,fav_tot_prop
2004,2558,161,234,280,129,643,0.157,0.01,0.014,0.017,0.008,0.039
2005,2284,175,153,125,98,375,0.14,0.011,0.009,0.008,0.006,0.023
2006,2457,377,369,171,102,641,0.151,0.023,0.023,0.011,0.006,0.039
2007,2442,338,74,183,107,364,0.15,0.021,0.005,0.011,0.007,0.022
2008,1161,549,83,157,142,382,0.071,0.034,0.005,0.01,0.009,0.023
2014,2094,1050,806,272,0,"1,078",0.129,0.064,0.049,0.017,0,0.066
2015,3436,835,299,390,22,711,0.211,0.051,0.018,0.024,0.001,0.044
2016,2881,1379,185,456,0,641,0.177,0.085,0.011,0.028,0,0.039
2017,4293,621,108,671,0,779,0.264,0.038,0.007,0.041,0,0.048
2018,4416,689,181,473,0,654,0.271,0.042,0.011,0.029,0,0.04
2019,3987,377,195,599,0,794,0.245,0.023,0.012,0.037,0,0.049
2020,3776,158,232,514,0,746,0.232,0.01,0.014,0.048,0,0.062
2021,4788,1076,99,375,0,932,0.294,0.066,0.006,0.023,0,0.029
2022,,,,,,,,,,,,
