"Year","Index"
1959,12.1
1960,25.4
1961,21.3
1962,24.9
1963,1.8
1964,24.6
1965,6
1966,NA
1967,NA
1968,NA
1969,2.5
1970,32.5
1971,12.5
1972,11.1
1973,21.3
1974,13
1975,12.2
1976,50.6
1977,25.8
1978,62.5
1979,13.3
1980,15.8
1981,19.8
1982,10.7
1983,2.9
1984,1.2
1985,0.9
1986,7.9
1987,1.4
1988,1.2
1989,2.2
1990,2.2
1991,2
1992,2.6
1993,8.2
1994,13
1995,3.2
1996,11.1
1997,4
1998,3.3
1999,11.9
2000,8
2001,3.5
2002,4.7
2003,1.6
2004,2.9
2005,0.3
2006,0.4
2007,0.4
2008,0.6
2009,0.3
2010,0.8
2011,2.2
2012,0.9
2013,0.7
2014,0.5
2015,0
2016,0
2017,0.2
2018,0
2019,0
2020,0
2021,0
2022,0
